last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,date
2020-01-03 09:32:05,Y,AAPL,298.63,1.0,298.68,1.0,0.0,0.0,2020-01-03 09:32:05.059710,298.55,298.58,-1,2020-01-03
2020-01-03 09:32:10,Z,AAPL,298.55,2.0,298.58,1.0,1.0,0.0,2020-01-03 09:32:10.139535,298.5,298.56,0,2020-01-03
2020-01-03 09:32:15,P,AAPL,298.5,1.0,298.56,4.0,0.0,0.0,2020-01-03 09:32:15.035373,298.71,298.73,1,2020-01-03
2020-01-03 09:32:20,P,AAPL,298.71,2.0,298.73,3.0,0.0,2.0,2020-01-03 09:32:20.554753,298.93,298.97,1,2020-01-03
2020-01-03 09:32:25,Q,AAPL,298.93,3.0,298.97,1.0,0.0,-1.0,2020-01-03 09:32:25.095802,298.85,298.9,-1,2020-01-03
2020-01-03 09:32:30,N,AAPL,298.85,2.0,298.9,1.0,0.0,-1.0,2020-01-03 09:32:30.100825,298.83,298.86,0,2020-01-03
2020-01-03 09:32:35,Q,AAPL,298.83,3.0,298.86,3.0,0.0,1.0,2020-01-03 09:32:35.001964,298.92,298.98,1,2020-01-03
2020-01-03 09:32:40,Q,AAPL,298.92,2.0,298.98,4.0,0.0,0.0,2020-01-03 09:32:40.033933,299.08,299.14,1,2020-01-03
2020-01-03 09:32:45,Z,AAPL,299.08,2.0,299.14,2.0,-1.0,-8.0,2020-01-03 09:32:45.138380,299.07,299.13,0,2020-01-03
2020-01-03 09:32:50,X,AAPL,299.07,2.0,299.13,2.0,-1.0,0.0,2020-01-03 09:32:50.228188,299.19,299.23,1,2020-01-03
2020-01-03 09:32:55,Z,AAPL,299.19,1.0,299.23,1.0,0.0,0.0,2020-01-03 09:32:55.034646,299.23,299.28,0,2020-01-03
2020-01-03 09:33:00,Q,AAPL,299.23,1.0,299.28,1.0,0.0,-3.0,2020-01-03 09:33:00.154470,299.17,299.22,-1,2020-01-03
2020-01-03 09:33:05,Z,AAPL,299.17,2.0,299.22,2.0,1.0,-1.0,2020-01-03 09:33:05.250719,299.05,299.08,-1,2020-01-03
2020-01-03 09:33:10,Z,AAPL,299.05,1.0,299.08,2.0,0.0,1.0,2020-01-03 09:33:10.000783,299.02,299.08,0,2020-01-03
