,last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,Spread,AWS,Anomaly,Spread Change,Quote IMB,VPIN
0,2020-01-23 09:30:25,N,AAPL,318.11,1.0,318.19,1.0,0.0,0.0,2020-01-23 09:30:25.861538,318.22,318.25,1,0.07999999999998408,0.07999999999998408,0,0,0.0,2e-05
1,2020-01-23 09:30:28,N,AAPL,318.22,4.0,318.25,3.0,3.0,2.0,2020-01-23 09:30:28.573258,318.28,318.31,1,0.029999999999972715,0.03699999999997772,0,-1,0.14285714285714285,2e-05
2,2020-01-23 09:30:29,N,AAPL,318.28,4.0,318.31,1.0,1.0,-1.0,2020-01-23 09:30:29.888120,318.27,318.3,0,0.03000000000002956,0.01555555555552246,0,1,0.6,2e-05
3,2020-01-23 09:30:31,N,AAPL,318.27,1.0,318.3,2.0,-1.0,1.0,2020-01-23 09:30:31.214840,318.31,318.35,1,0.03000000000002956,0.026285714285677386,0,1,-0.3333333333333333,2e-05
4,2020-01-23 09:30:32,N,AAPL,318.31,4.0,318.35,32.0,1.0,31.0,2020-01-23 09:30:32.050292,318.45,318.48,1,0.040000000000020464,0.07604395604397496,1,1,-0.7777777777777778,2e-05
5,2020-01-23 09:30:33,N,AAPL,318.45,2.0,318.48,2.0,0.0,1.0,2020-01-23 09:30:33.016895,318.43,318.45,0,0.03000000000002956,0.05920731707323057,0,-1,0.0,2e-05
6,2020-01-23 09:30:35,N,AAPL,318.43,1.0,318.45,1.0,-2.0,-1.0,2020-01-23 09:30:35.763900,318.43,318.48,0,0.01999999999998181,0.05310924369757686,0,-1,0.0,2e-05
7,2020-01-23 09:30:36,N,AAPL,318.43,1.0,318.48,2.0,0.0,0.0,2020-01-23 09:30:36.007805,318.37,318.42,-1,0.05000000000001137,0.05156565656568546,0,1,-0.3333333333333333,2e-05
8,2020-01-23 09:30:37,N,AAPL,318.37,1.0,318.42,4.0,-1.0,3.0,2020-01-23 09:30:37.860536,318.32,318.4,0,0.05000000000001137,0.05361842105270398,0,1,-0.6,2e-05
9,2020-01-23 09:30:38,N,AAPL,318.32,2.0,318.4,3.0,1.0,1.0,2020-01-23 09:30:38.190059,318.35,318.39,0,0.07999999999998408,0.05453781512608202,0,1,-0.2,2e-05
10,2020-01-23 09:30:39,N,AAPL,318.35,1.0,318.39,1.0,-1.0,0.0,2020-01-23 09:30:39.459668,318.26,318.3,-1,0.03999999999996362,0.053059440559479754,0,-1,0.0,2e-05
11,2020-01-23 09:30:40,N,AAPL,318.26,2.0,318.3,2.0,-28.0,1.0,2020-01-23 09:30:40.862105,318.22,318.24,-1,0.040000000000020464,0.05472222222221035,0,1,0.0,2e-05
12,2020-01-23 09:30:41,N,AAPL,318.22,2.0,318.24,3.0,0.0,1.0,2020-01-23 09:30:41.240763,318.25,318.3,1,0.01999999999998181,0.05489878542510951,0,-1,-0.2,2e-05
