,last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,Spread,AWS,Anomaly,Spread Change,Quote IMB,VPIN
18,2020-01-24 09:30:37,N,AAPL,319.89,1.0,319.95,3.0,-1.0,1.0,2020-01-24 09:30:37.327921,319.95,320.03,0,0.060000000000002274,0.029678571428576106,0,1,-0.5,9e-05
19,2020-01-24 09:30:38,N,AAPL,319.95,2.0,320.03,1.0,0.0,-2.0,2020-01-24 09:30:38.045824,319.99,320.05,0,0.07999999999998408,0.032608935466100775,0,1,0.3333333333333333,9e-05
20,2020-01-24 09:30:39,N,AAPL,319.99,5.0,320.05,1.0,2.0,-5.0,2020-01-24 09:30:39.025069,319.97,320.03,0,0.060000000000002274,0.03449523809524635,0,-1,0.6666666666666666,9e-05
21,2020-01-24 09:30:40,N,AAPL,319.97,2.0,320.03,4.0,0.0,2.0,2020-01-24 09:30:40.238556,320.02,320.09,0,0.05999999999994543,0.03547138047139242,1,-1,-0.3333333333333333,9e-05
22,2020-01-24 09:30:41,N,AAPL,320.02,1.0,320.09,3.0,-1.0,2.0,2020-01-24 09:30:41.260782,320.01,320.09,0,0.06999999999999318,0.037883040935639656,1,1,-0.5,9e-05
23,2020-01-24 09:30:42,N,AAPL,320.01,2.0,320.09,2.0,0.0,0.0,2020-01-24 09:30:42.280712,320.01,320.09,0,0.07999999999998408,0.039231878831571976,1,1,0.0,9e-05
24,2020-01-24 09:30:43,N,AAPL,320.01,2.0,320.09,2.0,0.0,0.0,2020-01-24 09:30:43.292908,320.07,320.12,0,0.07999999999998408,0.04049849447977749,1,1,0.0,9e-05
25,2020-01-24 09:30:44,N,AAPL,320.07,3.0,320.12,2.0,1.0,0.0,2020-01-24 09:30:44.483264,320.08,320.16,0,0.05000000000001137,0.039026251526252054,1,-1,0.2,9e-05
26,2020-01-24 09:30:45,N,AAPL,320.08,1.0,320.16,2.0,-1.0,1.0,2020-01-24 09:30:45.246758,320.09,320.13,0,0.08000000000004093,0.041172714078356876,1,1,-0.3333333333333333,9e-05
27,2020-01-24 09:30:46,N,AAPL,320.09,2.0,320.13,1.0,-4.0,0.0,2020-01-24 09:30:46.989912,320.12,320.17,0,0.040000000000020464,0.039393939393903565,1,-1,0.3333333333333333,9e-05
28,2020-01-24 09:30:47,N,AAPL,320.12,2.0,320.17,20.0,0.0,19.0,2020-01-24 09:30:47.022947,320.15,320.2,0,0.05000000000001137,0.06358221134229325,1,1,-0.8181818181818182,9e-05
29,2020-01-24 09:30:48,N,AAPL,320.15,2.0,320.2,2.0,0.0,-18.0,2020-01-24 09:30:48.079490,320.13,320.2,0,0.05000000000001137,0.06175269645603976,1,1,0.0,9e-05
30,2020-01-24 09:30:49,N,AAPL,320.13,2.0,320.2,4.0,-2.0,2.0,2020-01-24 09:30:49.049396,320.13,320.19,0,0.06999999999999318,0.06330363506771164,1,1,-0.3333333333333333,9e-05
31,2020-01-24 09:30:50,N,AAPL,320.13,3.0,320.19,4.0,-1.0,2.0,2020-01-24 09:30:50.073552,320.11,320.17,0,0.060000000000002274,0.06260416666668789,1,-1,-0.14285714285714285,9e-05
32,2020-01-24 09:30:51,N,AAPL,320.11,2.0,320.17,1.0,1.0,-3.0,2020-01-24 09:30:51.084276,320.1,320.17,0,0.060000000000002274,0.06092158700403161,1,1,0.3333333333333333,9e-05
33,2020-01-24 09:30:52,N,AAPL,320.1,4.0,320.17,1.0,3.0,0.0,2020-01-24 09:30:52.756928,320.1,320.18,0,0.06999999999999318,0.057714285714268954,1,1,0.6,9e-05
34,2020-01-24 09:30:53,N,AAPL,320.1,1.0,320.18,1.0,0.0,0.0,2020-01-24 09:30:53.144070,320.08,320.12,0,0.07999999999998408,0.05767534499921112,1,1,0.0,9e-05
35,2020-01-24 09:30:54,N,AAPL,320.08,2.0,320.12,2.0,1.0,1.0,2020-01-24 09:30:54.093484,320.05,320.09,0,0.040000000000020464,0.05698087616980274,1,-1,0.0,9e-05
36,2020-01-24 09:30:55,N,AAPL,320.05,5.0,320.09,2.0,-2.0,-2.0,2020-01-24 09:30:55.337111,320.08,320.16,0,0.03999999999996362,0.0560206621856878,1,-1,0.42857142857142855,9e-05
37,2020-01-24 09:30:56,N,AAPL,320.08,2.0,320.16,3.0,0.0,1.0,2020-01-24 09:30:56.069174,320.08,320.16,0,0.08000000000004093,0.05684198113209504,1,1,-0.2,9e-05
