last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome
2020-01-24 09:30:02,N,AAPL,320.3,1.0,320.34,1.0,0.0,0.0,2020-01-24 09:30:02.231010,320.26,320.31,0
2020-01-24 09:30:03,N,AAPL,320.26,1.0,320.31,1.0,0.0,-9.0,2020-01-24 09:30:03.572790,320.26,320.29,0
2020-01-24 09:30:04,N,AAPL,320.26,2.0,320.29,1.0,1.0,0.0,2020-01-24 09:30:04.408067,320.02,320.08,-1
2020-01-24 09:30:06,N,AAPL,320.02,2.0,320.08,6.0,1.0,5.0,2020-01-24 09:30:06.268612,320.02,320.06,0
2020-01-24 09:30:07,N,AAPL,320.02,1.0,320.06,2.0,-1.0,-4.0,2020-01-24 09:30:07.072558,319.97,320.01,-1
2020-01-24 09:30:22,N,AAPL,319.97,2.0,320.01,1.0,1.0,-2.0,2020-01-24 09:30:22.503008,319.97,320.02,0
2020-01-24 09:30:23,N,AAPL,319.97,1.0,320.02,10.0,-2.0,0.0,2020-01-24 09:30:23.038751,319.88,319.97,0
2020-01-24 09:30:24,N,AAPL,319.88,3.0,319.97,5.0,1.0,4.0,2020-01-24 09:30:24.142355,319.95,320.0,0
2020-01-24 09:30:25,N,AAPL,319.95,4.0,320.0,1.0,0.0,-1.0,2020-01-24 09:30:25.029320,319.86,319.93,-1
2020-01-24 09:30:26,N,AAPL,319.86,2.0,319.93,2.0,0.0,0.0,2020-01-24 09:30:26.107619,319.98,320.03,1
2020-01-24 09:30:27,N,AAPL,319.98,3.0,320.03,2.0,2.0,-2.0,2020-01-24 09:30:27.981274,320.06,320.09,1
2020-01-24 09:30:28,N,AAPL,320.06,2.0,320.09,2.0,0.0,0.0,2020-01-24 09:30:28.360703,320.03,320.1,0
2020-01-24 09:30:29,N,AAPL,320.03,1.0,320.1,2.0,0.0,-2.0,2020-01-24 09:30:29.235230,320.09,320.12,0
2020-01-24 09:30:30,N,AAPL,320.09,2.0,320.12,1.0,1.0,0.0,2020-01-24 09:30:30.030969,320.03,320.1,0
2020-01-24 09:30:32,N,AAPL,320.03,2.0,320.1,1.0,-1.0,-10.0,2020-01-24 09:30:32.508267,320.01,320.05,0
2020-01-24 09:30:33,N,AAPL,320.01,2.0,320.05,1.0,1.0,-1.0,2020-01-24 09:30:33.378420,319.94,319.98,-1
2020-01-24 09:30:34,N,AAPL,319.94,2.0,319.98,2.0,1.0,1.0,2020-01-24 09:30:34.254066,319.9,319.94,0
2020-01-24 09:30:36,N,AAPL,319.9,1.0,319.94,4.0,-1.0,2.0,2020-01-24 09:30:36.169867,319.89,319.95,0
2020-01-24 09:30:37,N,AAPL,319.89,1.0,319.95,3.0,-1.0,1.0,2020-01-24 09:30:37.327921,319.95,320.03,0
2020-01-24 09:30:38,N,AAPL,319.95,2.0,320.03,1.0,0.0,-2.0,2020-01-24 09:30:38.045824,319.99,320.05,0
2020-01-24 09:30:39,N,AAPL,319.99,5.0,320.05,1.0,2.0,-5.0,2020-01-24 09:30:39.025069,319.97,320.03,0
2020-01-24 09:30:40,N,AAPL,319.97,2.0,320.03,4.0,0.0,2.0,2020-01-24 09:30:40.238556,320.02,320.09,0
2020-01-24 09:30:41,N,AAPL,320.02,1.0,320.09,3.0,-1.0,2.0,2020-01-24 09:30:41.260782,320.01,320.09,0
2020-01-24 09:30:42,N,AAPL,320.01,2.0,320.09,2.0,0.0,0.0,2020-01-24 09:30:42.280712,320.01,320.09,0
2020-01-24 09:30:43,N,AAPL,320.01,2.0,320.09,2.0,0.0,0.0,2020-01-24 09:30:43.292908,320.07,320.12,0
2020-01-24 09:30:44,N,AAPL,320.07,3.0,320.12,2.0,1.0,0.0,2020-01-24 09:30:44.483264,320.08,320.16,0
2020-01-24 09:30:45,N,AAPL,320.08,1.0,320.16,2.0,-1.0,1.0,2020-01-24 09:30:45.246758,320.09,320.13,0
2020-01-24 09:30:46,N,AAPL,320.09,2.0,320.13,1.0,-4.0,0.0,2020-01-24 09:30:46.989912,320.12,320.17,0
2020-01-24 09:30:47,N,AAPL,320.12,2.0,320.17,20.0,0.0,19.0,2020-01-24 09:30:47.022947,320.15,320.2,0
2020-01-24 09:30:48,N,AAPL,320.15,2.0,320.2,2.0,0.0,-18.0,2020-01-24 09:30:48.079490,320.13,320.2,0
2020-01-24 09:30:49,N,AAPL,320.13,2.0,320.2,4.0,-2.0,2.0,2020-01-24 09:30:49.049396,320.13,320.19,0
2020-01-24 09:30:50,N,AAPL,320.13,3.0,320.19,4.0,-1.0,2.0,2020-01-24 09:30:50.073552,320.11,320.17,0
2020-01-24 09:30:51,N,AAPL,320.11,2.0,320.17,1.0,1.0,-3.0,2020-01-24 09:30:51.084276,320.1,320.17,0
2020-01-24 09:30:52,N,AAPL,320.1,4.0,320.17,1.0,3.0,0.0,2020-01-24 09:30:52.756928,320.1,320.18,0
2020-01-24 09:30:53,N,AAPL,320.1,1.0,320.18,1.0,0.0,0.0,2020-01-24 09:30:53.144070,320.08,320.12,0
2020-01-24 09:30:54,N,AAPL,320.08,2.0,320.12,2.0,1.0,1.0,2020-01-24 09:30:54.093484,320.05,320.09,0
2020-01-24 09:30:55,N,AAPL,320.05,5.0,320.09,2.0,-2.0,-2.0,2020-01-24 09:30:55.337111,320.08,320.16,0
2020-01-24 09:30:56,N,AAPL,320.08,2.0,320.16,3.0,0.0,1.0,2020-01-24 09:30:56.069174,320.08,320.16,0
2020-01-24 09:30:58,N,AAPL,320.08,2.0,320.16,1.0,0.0,-1.0,2020-01-24 09:30:58.136631,320.05,320.13,0
2020-01-24 09:30:59,N,AAPL,320.05,7.0,320.13,4.0,1.0,2.0,2020-01-24 09:30:59.068935,320.05,320.13,0
2020-01-24 09:31:00,N,AAPL,320.05,6.0,320.13,2.0,4.0,-2.0,2020-01-24 09:31:00.117586,320.04,320.07,0
2020-01-24 09:31:01,N,AAPL,320.04,2.0,320.07,1.0,-4.0,-1.0,2020-01-24 09:31:01.011314,320.02,320.08,0
2020-01-24 09:31:02,N,AAPL,320.02,4.0,320.08,2.0,2.0,0.0,2020-01-24 09:31:02.006554,320.02,320.08,0
2020-01-24 09:31:03,N,AAPL,320.02,4.0,320.08,1.0,3.0,-2.0,2020-01-24 09:31:03.860074,320.02,320.03,0
2020-01-24 09:31:04,N,AAPL,320.02,2.0,320.03,2.0,0.0,0.0,2020-01-24 09:31:04.048675,319.97,320.03,0
2020-01-24 09:31:05,N,AAPL,319.97,2.0,320.03,2.0,1.0,-1.0,2020-01-24 09:31:05.037894,319.99,320.05,0
2020-01-24 09:31:06,N,AAPL,319.99,4.0,320.05,2.0,2.0,1.0,2020-01-24 09:31:06.007525,320.06,320.12,1
2020-01-24 09:31:07,N,AAPL,320.06,2.0,320.12,2.0,0.0,0.0,2020-01-24 09:31:07.150274,320.02,320.08,0
2020-01-24 09:31:08,N,AAPL,320.02,2.0,320.08,4.0,0.0,2.0,2020-01-24 09:31:08.362706,320.09,320.15,1
2020-01-24 09:31:09,N,AAPL,320.09,2.0,320.15,2.0,0.0,0.0,2020-01-24 09:31:09.023108,320.17,320.24,1
2020-01-24 09:31:10,N,AAPL,320.17,2.0,320.24,3.0,0.0,2.0,2020-01-24 09:31:10.070659,320.34,320.39,1
2020-01-24 09:31:11,N,AAPL,320.34,3.0,320.39,1.0,-1.0,-1.0,2020-01-24 09:31:11.036174,320.33,320.4,0
2020-01-24 09:31:12,N,AAPL,320.33,4.0,320.4,2.0,2.0,0.0,2020-01-24 09:31:12.033996,320.35,320.43,0
2020-01-24 09:31:13,N,AAPL,320.35,1.0,320.43,4.0,-9.0,2.0,2020-01-24 09:31:13.086595,320.46,320.5,1
2020-01-24 09:31:14,N,AAPL,320.46,4.0,320.5,25.0,2.0,24.0,2020-01-24 09:31:14.179277,320.58,320.6,1
2020-01-24 09:31:16,N,AAPL,320.58,4.0,320.6,1.0,2.0,-2.0,2020-01-24 09:31:16.880868,320.59,320.6,0
2020-01-24 09:31:17,N,AAPL,320.59,2.0,320.6,1.0,-2.0,0.0,2020-01-24 09:31:17.002299,320.65,320.7,1
2020-01-24 09:31:19,N,AAPL,320.65,1.0,320.7,5.0,0.0,4.0,2020-01-24 09:31:19.834810,320.63,320.69,0
2020-01-24 09:31:20,N,AAPL,320.63,3.0,320.69,2.0,2.0,-2.0,2020-01-24 09:31:20.147506,320.62,320.66,0
2020-01-24 09:31:21,N,AAPL,320.62,1.0,320.66,1.0,-1.0,-3.0,2020-01-24 09:31:21.055614,320.6,320.64,0
2020-01-24 09:31:22,N,AAPL,320.6,2.0,320.64,2.0,-1.0,0.0,2020-01-24 09:31:22.059830,320.56,320.64,0
2020-01-24 09:31:23,N,AAPL,320.56,2.0,320.64,2.0,-1.0,-1.0,2020-01-24 09:31:23.058594,320.54,320.58,0
2020-01-24 09:31:26,N,AAPL,320.54,2.0,320.58,4.0,0.0,-18.0,2020-01-24 09:31:26.362442,320.48,320.55,0
2020-01-24 09:31:27,N,AAPL,320.48,1.0,320.55,2.0,-1.0,0.0,2020-01-24 09:31:27.347714,320.48,320.54,0
2020-01-24 09:31:28,N,AAPL,320.48,1.0,320.54,3.0,0.0,1.0,2020-01-24 09:31:28.000670,320.45,320.49,0
2020-01-24 09:31:29,N,AAPL,320.45,2.0,320.49,2.0,1.0,-1.0,2020-01-24 09:31:29.049758,320.4,320.45,0
2020-01-24 09:31:31,N,AAPL,320.4,2.0,320.45,2.0,1.0,1.0,2020-01-24 09:31:31.037289,320.37,320.44,0
2020-01-24 09:31:32,N,AAPL,320.37,2.0,320.44,2.0,1.0,1.0,2020-01-24 09:31:32.038217,320.42,320.48,0
2020-01-24 09:31:33,N,AAPL,320.42,2.0,320.48,5.0,0.0,3.0,2020-01-24 09:31:33.411690,320.44,320.5,0
2020-01-24 09:31:34,N,AAPL,320.44,2.0,320.5,2.0,-1.0,0.0,2020-01-24 09:31:34.432175,320.48,320.55,0
2020-01-24 09:31:35,N,AAPL,320.48,1.0,320.55,13.0,-3.0,12.0,2020-01-24 09:31:35.991057,320.48,320.55,0
2020-01-24 09:31:36,N,AAPL,320.48,4.0,320.55,13.0,0.0,0.0,2020-01-24 09:31:36.053130,320.53,320.56,0
2020-01-24 09:31:37,N,AAPL,320.53,4.0,320.56,1.0,-24.0,-14.0,2020-01-24 09:31:37.040077,320.53,320.59,0
2020-01-24 09:31:38,N,AAPL,320.53,2.0,320.59,15.0,0.0,0.0,2020-01-24 09:31:38.124061,320.58,320.59,0
2020-01-24 09:31:39,N,AAPL,320.58,3.0,320.59,10.0,1.0,-5.0,2020-01-24 09:31:39.921789,320.54,320.59,0
2020-01-24 09:31:40,N,AAPL,320.54,2.0,320.59,10.0,-5.0,0.0,2020-01-24 09:31:40.176372,320.56,320.59,0
2020-01-24 09:31:41,N,AAPL,320.56,4.0,320.59,16.0,2.0,-1.0,2020-01-24 09:31:41.122766,320.63,320.68,1
2020-01-24 09:31:42,N,AAPL,320.63,2.0,320.68,2.0,0.0,-2.0,2020-01-24 09:31:42.123399,320.59,320.66,0
2020-01-24 09:31:43,N,AAPL,320.59,4.0,320.66,3.0,3.0,1.0,2020-01-24 09:31:43.036122,320.6,320.65,0
2020-01-24 09:31:44,N,AAPL,320.6,1.0,320.65,2.0,-1.0,0.0,2020-01-24 09:31:44.439219,320.65,320.7,0
2020-01-24 09:31:45,N,AAPL,320.65,2.0,320.7,3.0,0.0,1.0,2020-01-24 09:31:45.352502,320.67,320.73,0
2020-01-24 09:31:46,N,AAPL,320.67,1.0,320.73,4.0,-1.0,2.0,2020-01-24 09:31:46.110305,320.7,320.77,0
2020-01-24 09:31:47,N,AAPL,320.7,2.0,320.77,1.0,0.0,0.0,2020-01-24 09:31:47.050589,320.71,320.78,0
2020-01-24 09:31:48,N,AAPL,320.71,4.0,320.78,1.0,2.0,0.0,2020-01-24 09:31:48.021011,320.65,320.73,0
2020-01-24 09:31:49,N,AAPL,320.65,3.0,320.73,2.0,2.0,-2.0,2020-01-24 09:31:49.095218,320.67,320.71,0
2020-01-24 09:31:50,N,AAPL,320.67,1.0,320.71,1.0,-1.0,0.0,2020-01-24 09:31:50.019579,320.75,320.78,1
2020-01-24 09:31:52,N,AAPL,320.75,2.0,320.78,1.0,1.0,-1.0,2020-01-24 09:31:52.483524,320.76,320.79,0
2020-01-24 09:31:53,N,AAPL,320.76,1.0,320.79,2.0,-1.0,1.0,2020-01-24 09:31:53.052348,320.81,320.85,1
2020-01-24 09:31:55,N,AAPL,320.81,2.0,320.85,1.0,1.0,-1.0,2020-01-24 09:31:55.111842,320.85,320.87,0
