last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome
2020-01-06 09:30:00,N,AAPL,293.65,1.0,293.74,1.0,0.0,0.0,2020-01-06 09:30:00.204270,293.68,293.81,0
2020-01-06 09:30:01,N,AAPL,293.68,1.0,293.81,1.0,0.0,0.0,2020-01-06 09:30:01.035059,293.24,293.41,-1
2020-01-06 09:30:02,N,AAPL,293.24,1.0,293.41,2.0,0.0,-1.0,2020-01-06 09:30:02.250242,292.95,293.18,-1
2020-01-06 09:30:03,N,AAPL,292.95,1.0,293.18,1.0,-1.0,-1.0,2020-01-06 09:30:03.428873,292.78,292.86,-1
2020-01-06 09:30:06,N,AAPL,292.78,1.0,292.86,1.0,0.0,-1.0,2020-01-06 09:30:06.473577,292.89,292.99,1
2020-01-06 09:30:08,N,AAPL,292.89,2.0,292.99,3.0,1.0,2.0,2020-01-06 09:30:08.583422,293.03,293.1,1
2020-01-06 09:30:09,N,AAPL,293.03,1.0,293.1,3.0,-1.0,1.0,2020-01-06 09:30:09.239904,293.06,293.26,0
2020-01-06 09:30:11,N,AAPL,293.06,20.0,293.26,1.0,19.0,-2.0,2020-01-06 09:30:11.063091,292.92,293.01,-1
2020-01-06 09:30:14,N,AAPL,292.92,4.0,293.01,1.0,-16.0,0.0,2020-01-06 09:30:14.202714,293.02,293.25,1
2020-01-06 09:30:17,N,AAPL,293.02,2.0,293.25,2.0,-2.0,1.0,2020-01-06 09:30:17.827270,293.24,293.43,0
2020-01-06 09:30:21,N,AAPL,293.24,1.0,293.43,1.0,-1.0,-1.0,2020-01-06 09:30:21.459609,293.12,293.29,0
2020-01-06 09:30:22,N,AAPL,293.12,1.0,293.29,1.0,-1.0,-1.0,2020-01-06 09:30:22.695528,293.17,293.36,0
2020-01-06 09:30:24,N,AAPL,293.17,2.0,293.36,2.0,1.0,1.0,2020-01-06 09:30:24.572911,293.46,293.37,1
2020-01-06 09:30:25,N,AAPL,293.46,4.0,293.37,1.0,3.0,0.0,2020-01-06 09:30:25.808038,293.23,293.45,-1
2020-01-06 09:30:26,N,AAPL,293.23,1.0,293.45,4.0,-1.0,3.0,2020-01-06 09:30:26.398692,293.21,293.41,0
2020-01-06 09:30:28,N,AAPL,293.21,1.0,293.41,1.0,0.0,-3.0,2020-01-06 09:30:28.556454,293.22,293.4,0
2020-01-06 09:30:29,N,AAPL,293.22,1.0,293.4,1.0,0.0,0.0,2020-01-06 09:30:29.108590,293.32,293.4,0
2020-01-06 09:30:30,N,AAPL,293.32,2.0,293.4,2.0,1.0,1.0,2020-01-06 09:30:30.069046,293.28,293.37,0
