,last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,Spread,AWS,Anomaly,Spread Change,Quote IMB,VPIN
0,2020-01-14 09:30:00,N,AAPL,316.55,4.0,316.71,1.0,0.0,0.0,2020-01-14 09:30:00.243384,316.7,316.78,0,0.15999999999996817,0.15999999999996817,0,0,0.6,0.00061
1,2020-01-14 09:30:01,N,AAPL,316.7,2.0,316.78,1.0,-2.0,0.0,2020-01-14 09:30:01.895947,316.73,316.79,0,0.07999999999998408,0.14500000000003865,0,-1,0.3333333333333333,0.00061
2,2020-01-14 09:30:04,N,AAPL,316.73,2.0,316.79,1.0,0.0,0.0,2020-01-14 09:30:04.844286,317.02,317.08,1,0.060000000000002274,0.12749999999999773,1,-1,0.3333333333333333,0.00061
3,2020-01-14 09:30:14,N,AAPL,317.02,2.0,317.08,1.0,-4.0,0.0,2020-01-14 09:30:14.088828,316.96,317.04,0,0.060000000000002274,0.12999999999999545,0,1,0.3333333333333333,0.00061
4,2020-01-14 09:30:15,N,AAPL,316.96,2.0,317.04,1.0,1.0,0.0,2020-01-14 09:30:15.236109,316.78,316.86,-1,0.08000000000004093,0.1283333333333303,0,1,0.3333333333333333,0.00061
5,2020-01-14 09:30:16,N,AAPL,316.78,1.0,316.86,1.0,-1.0,0.0,2020-01-14 09:30:16.188015,316.41,316.46,-1,0.08000000000004093,0.12282051282045359,1,1,0.0,0.00061
6,2020-01-14 09:30:24,N,AAPL,316.41,1.0,316.46,2.0,0.0,1.0,2020-01-14 09:30:24.237480,316.34,316.37,-1,0.049999999999954525,0.04321428571427077,1,-1,-0.3333333333333333,0.00061
7,2020-01-14 09:30:25,N,AAPL,316.34,2.0,316.37,3.0,1.0,2.0,2020-01-14 09:30:25.027027,316.28,316.31,-1,0.03000000000002956,-0.017897727272725206,1,-1,-0.2,0.00061
8,2020-01-14 09:30:27,N,AAPL,316.28,2.0,316.31,2.0,1.0,-2.0,2020-01-14 09:30:27.571673,316.32,316.37,1,0.03000000000002956,-0.02764957264963641,1,1,0.0,0.00061
9,2020-01-14 09:30:29,N,AAPL,316.32,2.0,316.37,2.0,1.0,1.0,2020-01-14 09:30:29.198290,316.54,316.58,1,0.05000000000001137,-0.02783333333337623,1,1,0.0,0.00061
10,2020-01-14 09:30:30,N,AAPL,316.54,2.0,316.58,5.0,1.0,3.0,2020-01-14 09:30:30.234366,316.52,316.6,0,0.03999999999996362,-0.021136363636401256,1,-1,-0.42857142857142855,0.00061
11,2020-01-14 09:30:32,N,AAPL,316.52,4.0,316.6,2.0,-2.0,0.0,2020-01-14 09:30:32.175254,316.75,316.84,1,0.08000000000004093,-0.006993006993013751,1,1,0.3333333333333333,0.00061
12,2020-01-14 09:30:33,N,AAPL,316.75,1.0,316.84,2.0,-2.0,1.0,2020-01-14 09:30:33.021757,316.89,316.95,1,0.08999999999997499,0.008657407407383744,1,1,-0.3333333333333333,0.00061
13,2020-01-14 09:30:35,N,AAPL,316.89,4.0,316.95,1.0,3.0,0.0,2020-01-14 09:30:35.388092,316.91,316.95,0,0.060000000000002274,-0.015767741935519552,1,-1,0.6,0.00061
