,last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,Spread,AWS,Anomaly,Spread Change,Quote IMB,VPIN
0,2020-01-13 09:30:00,N,AAPL,311.61,1.0,311.7,4.0,-2.0,3.0,2020-01-13 09:30:00.303565,311.79,311.88,1,0.08999999999997499,0.08999999999997499,0,0,-0.6,9e-05
1,2020-01-13 09:30:26,N,AAPL,311.79,4.0,311.88,1.0,3.0,-3.0,2020-01-13 09:30:26.006085,311.82,311.89,0,0.08999999999997499,-0.018000000000029104,0,1,0.6,9e-05
2,2020-01-13 09:30:27,N,AAPL,311.82,2.0,311.89,3.0,0.0,0.0,2020-01-13 09:30:27.270557,311.82,311.89,0,0.06999999999999318,0.020892857142882804,0,-1,-0.2,9e-05
3,2020-01-13 09:30:28,N,AAPL,311.82,2.0,311.89,3.0,0.0,1.0,2020-01-13 09:30:28.097493,311.93,311.97,1,0.06999999999999318,0.03666666666669016,0,1,-0.2,9e-05
4,2020-01-13 09:30:29,N,AAPL,311.93,4.0,311.97,1.0,3.0,-9.0,2020-01-13 09:30:29.187025,311.89,311.96,0,0.040000000000020464,0.004038461538470983,0,-1,0.6,9e-05
5,2020-01-13 09:30:30,N,AAPL,311.89,1.0,311.96,1.0,0.0,0.0,2020-01-13 09:30:30.105799,311.86,311.92,0,0.06999999999999318,0.009450549450548351,0,1,0.0,9e-05
6,2020-01-13 09:30:31,N,AAPL,311.86,2.0,311.92,1.0,1.0,0.0,2020-01-13 09:30:31.059423,311.84,311.92,0,0.060000000000002274,0.011607142857144481,0,-1,0.3333333333333333,9e-05
7,2020-01-13 09:30:32,N,AAPL,311.84,2.0,311.92,2.0,0.0,0.0,2020-01-13 09:30:32.012840,311.87,311.92,0,0.08000000000004093,0.020208333333300743,0,1,0.0,9e-05
8,2020-01-13 09:30:33,N,AAPL,311.87,2.0,311.92,2.0,1.0,0.0,2020-01-13 09:30:33.145100,311.87,311.93,0,0.05000000000001137,0.023888888888848214,0,-1,0.0,9e-05
9,2020-01-13 09:30:34,N,AAPL,311.87,2.0,311.93,1.0,1.0,0.0,2020-01-13 09:30:34.035627,311.89,311.97,0,0.060000000000002274,0.024641148325429185,0,1,0.3333333333333333,9e-05
