last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome
2020-01-08 09:30:00,N,AAPL,297.16,3.0,297.16,2.0,0.0,-28.0,2020-01-08 09:30:00.243217,297.26,297.34,1
2020-01-08 09:30:01,N,AAPL,297.26,1.0,297.34,1.0,-2.0,-1.0,2020-01-08 09:30:01.643143,297.25,297.34,0
2020-01-08 09:30:02,N,AAPL,297.25,9.0,297.34,2.0,5.0,1.0,2020-01-08 09:30:02.498099,297.25,297.26,0
2020-01-08 09:30:03,N,AAPL,297.25,8.0,297.26,1.0,-1.0,0.0,2020-01-08 09:30:03.074562,297.42,297.43,1
2020-01-08 09:30:04,N,AAPL,297.42,19.0,297.43,1.0,17.0,0.0,2020-01-08 09:30:04.017374,297.7,297.79,1
2020-01-08 09:30:15,N,AAPL,297.7,1.0,297.79,1.0,-15.0,0.0,2020-01-08 09:30:15.013121,297.72,297.74,0
2020-01-08 09:30:21,N,AAPL,297.72,5.0,297.74,3.0,3.0,1.0,2020-01-08 09:30:21.669205,297.65,297.77,0
2020-01-08 09:30:27,N,AAPL,297.65,1.0,297.77,2.0,-4.0,-1.0,2020-01-08 09:30:27.239581,297.63,297.78,0
2020-01-08 09:30:30,N,AAPL,297.63,2.0,297.78,1.0,1.0,-1.0,2020-01-08 09:30:30.012084,297.66,297.68,0
2020-01-08 09:30:31,N,AAPL,297.66,2.0,297.68,1.0,0.0,-1.0,2020-01-08 09:30:31.275581,297.54,297.62,-1
2020-01-08 09:30:32,N,AAPL,297.54,9.0,297.62,4.0,5.0,1.0,2020-01-08 09:30:32.888161,297.52,297.58,0
2020-01-08 09:30:33,N,AAPL,297.52,2.0,297.58,3.0,-1.0,0.0,2020-01-08 09:30:33.159466,297.52,297.59,0
2020-01-08 09:30:34,N,AAPL,297.52,10.0,297.59,4.0,8.0,3.0,2020-01-08 09:30:34.121557,297.44,297.52,0
2020-01-08 09:30:35,N,AAPL,297.44,1.0,297.52,2.0,0.0,-2.0,2020-01-08 09:30:35.107084,297.43,297.48,0
2020-01-08 09:30:36,N,AAPL,297.43,1.0,297.48,2.0,-2.0,1.0,2020-01-08 09:30:36.130551,297.43,297.47,0
2020-01-08 09:30:37,N,AAPL,297.43,3.0,297.47,4.0,2.0,2.0,2020-01-08 09:30:37.252710,297.43,297.47,0
2020-01-08 09:30:38,N,AAPL,297.43,1.0,297.47,1.0,-1.0,-1.0,2020-01-08 09:30:38.021220,297.4,297.47,0
2020-01-08 09:30:39,N,AAPL,297.4,4.0,297.47,1.0,3.0,0.0,2020-01-08 09:30:39.654423,297.41,297.47,0
2020-01-08 09:30:40,N,AAPL,297.41,2.0,297.47,1.0,1.0,-3.0,2020-01-08 09:30:40.605487,297.44,297.48,0
2020-01-08 09:30:41,N,AAPL,297.44,2.0,297.48,2.0,1.0,-1.0,2020-01-08 09:30:41.909595,297.45,297.51,0
2020-01-08 09:30:42,N,AAPL,297.45,2.0,297.51,2.0,-2.0,0.0,2020-01-08 09:30:42.099233,297.44,297.5,0
2020-01-08 09:30:43,N,AAPL,297.44,2.0,297.5,4.0,0.0,2.0,2020-01-08 09:30:43.139918,297.43,297.51,0
2020-01-08 09:30:45,N,AAPL,297.43,1.0,297.51,3.0,-1.0,1.0,2020-01-08 09:30:45.094500,297.44,297.51,0
2020-01-08 09:30:46,N,AAPL,297.44,7.0,297.51,4.0,6.0,2.0,2020-01-08 09:30:46.640727,297.44,297.51,0
2020-01-08 09:30:47,N,AAPL,297.44,3.0,297.51,4.0,-4.0,2.0,2020-01-08 09:30:47.020538,297.48,297.56,0
2020-01-08 09:30:48,N,AAPL,297.48,5.0,297.56,3.0,3.0,2.0,2020-01-08 09:30:48.608652,297.44,297.5,0
2020-01-08 09:30:50,N,AAPL,297.44,2.0,297.5,1.0,-3.0,-1.0,2020-01-08 09:30:50.100750,297.48,297.52,0
2020-01-08 09:30:51,N,AAPL,297.48,1.0,297.52,2.0,-1.0,1.0,2020-01-08 09:30:51.002506,297.4,297.44,-1
2020-01-08 09:30:52,N,AAPL,297.4,2.0,297.44,2.0,1.0,0.0,2020-01-08 09:30:52.404407,297.41,297.45,0
2020-01-08 09:30:53,N,AAPL,297.41,1.0,297.45,1.0,-1.0,-3.0,2020-01-08 09:30:53.678280,297.41,297.47,0
2020-01-08 09:30:54,N,AAPL,297.41,2.0,297.47,1.0,1.0,0.0,2020-01-08 09:30:54.046854,297.46,297.52,0
2020-01-08 09:30:55,N,AAPL,297.46,1.0,297.52,1.0,-1.0,0.0,2020-01-08 09:30:55.024011,297.45,297.51,0
2020-01-08 09:30:57,N,AAPL,297.45,6.0,297.51,4.0,4.0,3.0,2020-01-08 09:30:57.431909,297.39,297.43,-1
2020-01-08 09:30:58,N,AAPL,297.39,1.0,297.43,4.0,0.0,0.0,2020-01-08 09:30:58.912996,297.33,297.39,0
2020-01-08 09:30:59,N,AAPL,297.33,1.0,297.39,1.0,-1.0,0.0,2020-01-08 09:30:59.012742,297.35,297.43,0
2020-01-08 09:31:00,N,AAPL,297.35,9.0,297.43,4.0,7.0,3.0,2020-01-08 09:31:00.153322,297.35,297.39,0
2020-01-08 09:31:01,N,AAPL,297.35,5.0,297.39,2.0,-4.0,0.0,2020-01-08 09:31:01.353399,297.35,297.39,0
2020-01-08 09:31:03,N,AAPL,297.35,12.0,297.39,4.0,7.0,3.0,2020-01-08 09:31:03.018135,297.37,297.43,0
2020-01-08 09:31:04,N,AAPL,297.37,2.0,297.43,2.0,-14.0,-2.0,2020-01-08 09:31:04.056593,297.43,297.48,0
2020-01-08 09:31:05,N,AAPL,297.43,1.0,297.48,2.0,-1.0,1.0,2020-01-08 09:31:05.234330,297.49,297.5,1
2020-01-08 09:31:06,N,AAPL,297.49,4.0,297.5,3.0,2.0,-1.0,2020-01-08 09:31:06.514053,297.52,297.55,1
2020-01-08 09:31:07,N,AAPL,297.52,1.0,297.55,3.0,-2.0,0.0,2020-01-08 09:31:07.227790,297.61,297.68,1
2020-01-08 09:31:08,N,AAPL,297.61,1.0,297.68,2.0,-1.0,0.0,2020-01-08 09:31:08.504096,297.68,297.71,0
2020-01-08 09:31:09,N,AAPL,297.68,1.0,297.71,2.0,0.0,1.0,2020-01-08 09:31:09.036437,297.67,297.73,0
2020-01-08 09:31:10,N,AAPL,297.67,1.0,297.73,3.0,-3.0,2.0,2020-01-08 09:31:10.546241,297.66,297.76,0
2020-01-08 09:31:11,N,AAPL,297.66,2.0,297.76,2.0,-2.0,1.0,2020-01-08 09:31:11.115721,297.64,297.68,0
2020-01-08 09:31:12,N,AAPL,297.64,6.0,297.68,4.0,2.0,3.0,2020-01-08 09:31:12.253735,297.68,297.73,0
2020-01-08 09:31:13,N,AAPL,297.68,3.0,297.73,2.0,1.0,0.0,2020-01-08 09:31:13.913553,297.67,297.75,0
2020-01-08 09:31:14,N,AAPL,297.67,10.0,297.75,2.0,0.0,0.0,2020-01-08 09:31:14.269097,297.68,297.76,0
2020-01-08 09:31:15,N,AAPL,297.68,1.0,297.76,2.0,-11.0,0.0,2020-01-08 09:31:15.170319,297.75,297.78,0
2020-01-08 09:31:17,N,AAPL,297.75,4.0,297.78,1.0,2.0,-1.0,2020-01-08 09:31:17.975759,297.79,297.83,1
2020-01-08 09:31:18,N,AAPL,297.79,2.0,297.83,1.0,1.0,-14.0,2020-01-08 09:31:18.045646,297.91,297.98,1
2020-01-08 09:31:19,N,AAPL,297.91,2.0,297.98,7.0,0.0,6.0,2020-01-08 09:31:19.294860,298.05,298.09,1
2020-01-08 09:31:20,N,AAPL,298.05,2.0,298.09,1.0,-1.0,-165.0,2020-01-08 09:31:20.454982,298.15,298.19,1
2020-01-08 09:31:21,N,AAPL,298.15,3.0,298.19,4.0,1.0,0.0,2020-01-08 09:31:21.240080,298.22,298.28,1
2020-01-08 09:31:22,N,AAPL,298.22,2.0,298.28,4.0,0.0,2.0,2020-01-08 09:31:22.085129,298.24,298.32,0
2020-01-08 09:31:23,N,AAPL,298.24,5.0,298.32,1.0,3.0,-2.0,2020-01-08 09:31:23.465037,298.27,298.32,0
2020-01-08 09:31:24,N,AAPL,298.27,1.0,298.32,4.0,-1.0,0.0,2020-01-08 09:31:24.012004,298.31,298.37,0
2020-01-08 09:31:25,N,AAPL,298.31,4.0,298.37,4.0,2.0,3.0,2020-01-08 09:31:25.228658,298.34,298.41,0
2020-01-08 09:31:27,N,AAPL,298.34,1.0,298.41,2.0,-3.0,0.0,2020-01-08 09:31:27.707648,298.45,298.46,1
2020-01-08 09:31:28,N,AAPL,298.45,2.0,298.46,2.0,1.0,0.0,2020-01-08 09:31:28.011598,298.5,298.51,1
2020-01-08 09:31:29,N,AAPL,298.5,5.0,298.51,2.0,3.0,-30.0,2020-01-08 09:31:29.147653,298.48,298.61,0
2020-01-08 09:31:30,N,AAPL,298.48,3.0,298.61,2.0,2.0,0.0,2020-01-08 09:31:30.375364,298.51,298.63,0
2020-01-08 09:31:31,N,AAPL,298.51,7.0,298.63,2.0,5.0,0.0,2020-01-08 09:31:31.055503,298.53,298.63,0
2020-01-08 09:31:32,N,AAPL,298.53,1.0,298.63,2.0,-2.0,0.0,2020-01-08 09:31:32.108071,298.52,298.6,0
2020-01-08 09:31:33,N,AAPL,298.52,7.0,298.6,4.0,6.0,2.0,2020-01-08 09:31:33.025676,298.39,298.47,-1
2020-01-08 09:31:34,N,AAPL,298.39,5.0,298.47,4.0,4.0,3.0,2020-01-08 09:31:34.011811,298.41,298.48,0
2020-01-08 09:31:35,N,AAPL,298.41,4.0,298.48,1.0,0.0,-1.0,2020-01-08 09:31:35.269175,298.47,298.51,0
2020-01-08 09:31:36,N,AAPL,298.47,2.0,298.51,1.0,0.0,0.0,2020-01-08 09:31:36.204053,298.32,298.39,-1
2020-01-08 09:31:37,N,AAPL,298.32,2.0,298.39,1.0,0.0,-1.0,2020-01-08 09:31:37.672383,298.27,298.36,0
2020-01-08 09:31:38,N,AAPL,298.27,4.0,298.36,1.0,3.0,0.0,2020-01-08 09:31:38.216194,298.28,298.38,0
2020-01-08 09:31:39,N,AAPL,298.28,4.0,298.38,2.0,0.0,1.0,2020-01-08 09:31:39.227999,298.29,298.38,0
2020-01-08 09:31:40,N,AAPL,298.29,2.0,298.38,2.0,0.0,1.0,2020-01-08 09:31:40.035790,298.42,298.49,1
2020-01-08 09:31:41,N,AAPL,298.42,2.0,298.49,2.0,0.0,0.0,2020-01-08 09:31:41.035533,298.38,298.48,0
2020-01-08 09:31:42,N,AAPL,298.38,2.0,298.48,1.0,-2.0,-3.0,2020-01-08 09:31:42.457902,298.39,298.48,0
2020-01-08 09:31:43,N,AAPL,298.39,1.0,298.48,1.0,-1.0,0.0,2020-01-08 09:31:43.030077,298.39,298.48,0
2020-01-08 09:31:44,N,AAPL,298.39,4.0,298.48,1.0,3.0,0.0,2020-01-08 09:31:44.154246,298.41,298.45,0
2020-01-08 09:31:45,N,AAPL,298.41,2.0,298.45,1.0,1.0,-1.0,2020-01-08 09:31:45.132024,298.41,298.49,0
2020-01-08 09:31:46,N,AAPL,298.41,2.0,298.49,4.0,-2.0,0.0,2020-01-08 09:31:46.027238,298.4,298.48,0
2020-01-08 09:31:47,N,AAPL,298.4,3.0,298.48,1.0,0.0,0.0,2020-01-08 09:31:47.693306,298.4,298.48,0
2020-01-08 09:31:48,N,AAPL,298.4,4.0,298.48,1.0,0.0,0.0,2020-01-08 09:31:48.068281,298.4,298.47,0
2020-01-08 09:31:49,N,AAPL,298.4,10.0,298.47,4.0,7.0,3.0,2020-01-08 09:31:49.050762,298.41,298.48,0
2020-01-08 09:31:50,N,AAPL,298.41,2.0,298.48,1.0,0.0,-1.0,2020-01-08 09:31:50.485775,298.41,298.48,0
2020-01-08 09:31:51,N,AAPL,298.41,4.0,298.48,2.0,0.0,1.0,2020-01-08 09:31:51.291881,298.28,298.31,-1
2020-01-08 09:31:52,N,AAPL,298.28,4.0,298.31,2.0,3.0,1.0,2020-01-08 09:31:52.778356,298.29,298.4,0
2020-01-08 09:31:53,N,AAPL,298.29,2.0,298.4,3.0,-2.0,2.0,2020-01-08 09:31:53.130482,298.32,298.36,0
2020-01-08 09:31:55,N,AAPL,298.32,1.0,298.36,2.0,0.0,0.0,2020-01-08 09:31:55.301287,298.21,298.28,-1
2020-01-08 09:31:56,N,AAPL,298.21,10.0,298.28,1.0,0.0,-5.0,2020-01-08 09:31:56.341513,298.21,298.3,0
2020-01-08 09:31:57,N,AAPL,298.21,7.0,298.3,2.0,0.0,0.0,2020-01-08 09:31:57.150382,298.12,298.2,-1
2020-01-08 09:31:58,N,AAPL,298.12,3.0,298.2,2.0,0.0,-2.0,2020-01-08 09:31:58.079746,298.14,298.23,0
2020-01-08 09:31:59,N,AAPL,298.14,1.0,298.23,4.0,0.0,3.0,2020-01-08 09:31:59.356006,298.16,298.25,0
2020-01-08 09:32:00,N,AAPL,298.16,4.0,298.25,1.0,0.0,0.0,2020-01-08 09:32:00.003726,298.18,298.24,0
2020-01-08 09:32:01,N,AAPL,298.18,3.0,298.24,1.0,0.0,-1.0,2020-01-08 09:32:01.196574,298.19,298.29,0
2020-01-08 09:32:02,N,AAPL,298.19,3.0,298.29,1.0,0.0,0.0,2020-01-08 09:32:02.745265,298.22,298.3,0
2020-01-08 09:32:03,N,AAPL,298.22,3.0,298.3,2.0,0.0,-2.0,2020-01-08 09:32:03.025548,298.35,298.42,1
2020-01-08 09:32:04,N,AAPL,298.35,3.0,298.42,2.0,2.0,1.0,2020-01-08 09:32:04.133019,298.39,298.48,0
2020-01-08 09:32:05,N,AAPL,298.39,4.0,298.48,4.0,3.0,2.0,2020-01-08 09:32:05.052052,298.44,298.5,0
2020-01-08 09:32:06,N,AAPL,298.44,1.0,298.5,1.0,-8.0,-1.0,2020-01-08 09:32:06.549433,298.51,298.55,1
2020-01-08 09:32:07,N,AAPL,298.51,4.0,298.55,1.0,2.0,0.0,2020-01-08 09:32:07.559704,298.6,298.68,1
2020-01-08 09:32:08,N,AAPL,298.6,4.0,298.68,1.0,0.0,0.0,2020-01-08 09:32:08.173862,298.63,298.68,0
2020-01-08 09:32:09,N,AAPL,298.63,1.0,298.68,4.0,-2.0,3.0,2020-01-08 09:32:09.020832,298.59,298.65,0
2020-01-08 09:32:10,N,AAPL,298.59,1.0,298.65,2.0,-1.0,0.0,2020-01-08 09:32:10.455033,298.56,298.66,0
2020-01-08 09:32:11,N,AAPL,298.56,6.0,298.66,4.0,1.0,3.0,2020-01-08 09:32:11.073523,298.59,298.66,0
2020-01-08 09:32:12,N,AAPL,298.59,2.0,298.66,2.0,-6.0,1.0,2020-01-08 09:32:12.023676,298.63,298.71,0
2020-01-08 09:32:13,N,AAPL,298.63,1.0,298.71,2.0,-1.0,1.0,2020-01-08 09:32:13.008468,298.63,298.71,0
2020-01-08 09:32:14,N,AAPL,298.63,2.0,298.71,1.0,0.0,-1.0,2020-01-08 09:32:14.763638,298.64,298.7,0
2020-01-08 09:32:15,N,AAPL,298.64,3.0,298.7,4.0,1.0,3.0,2020-01-08 09:32:15.124138,298.64,298.71,0
2020-01-08 09:32:16,N,AAPL,298.64,8.0,298.71,3.0,7.0,1.0,2020-01-08 09:32:16.666988,298.69,298.72,0
2020-01-08 09:32:17,N,AAPL,298.69,2.0,298.72,1.0,-2.0,0.0,2020-01-08 09:32:17.567103,298.69,298.71,0
2020-01-08 09:32:18,N,AAPL,298.69,4.0,298.71,1.0,3.0,-1.0,2020-01-08 09:32:18.625192,298.67,298.68,-1
2020-01-08 09:32:19,N,AAPL,298.67,2.0,298.68,5.0,-5.0,4.0,2020-01-08 09:32:19.050440,298.63,298.66,-1
2020-01-08 09:32:21,N,AAPL,298.63,2.0,298.66,1.0,1.0,-1.0,2020-01-08 09:32:21.949024,298.56,298.65,0
2020-01-08 09:32:22,N,AAPL,298.56,4.0,298.65,2.0,3.0,1.0,2020-01-08 09:32:22.225333,298.68,298.71,1
2020-01-08 09:32:23,N,AAPL,298.68,4.0,298.71,1.0,2.0,-1.0,2020-01-08 09:32:23.706070,298.66,298.72,0
2020-01-08 09:32:24,N,AAPL,298.66,2.0,298.72,1.0,0.0,-1.0,2020-01-08 09:32:24.275779,298.7,298.76,0
2020-01-08 09:32:25,N,AAPL,298.7,4.0,298.76,8.0,2.0,3.0,2020-01-08 09:32:25.286247,298.65,298.69,-1
2020-01-08 09:32:27,N,AAPL,298.65,1.0,298.69,1.0,-1.0,-2.0,2020-01-08 09:32:27.389246,298.64,298.69,0
2020-01-08 09:32:29,N,AAPL,298.64,4.0,298.69,1.0,3.0,0.0,2020-01-08 09:32:29.085318,298.63,298.72,0
2020-01-08 09:32:30,N,AAPL,298.63,2.0,298.72,2.0,1.0,0.0,2020-01-08 09:32:30.241807,298.64,298.72,0
2020-01-08 09:32:31,N,AAPL,298.64,1.0,298.72,2.0,0.0,0.0,2020-01-08 09:32:31.053200,298.64,298.72,0
2020-01-08 09:32:32,N,AAPL,298.64,1.0,298.72,1.0,-5.0,0.0,2020-01-08 09:32:32.005992,298.63,298.7,0
2020-01-08 09:32:33,N,AAPL,298.63,6.0,298.7,4.0,0.0,3.0,2020-01-08 09:32:33.077841,298.65,298.73,0
2020-01-08 09:32:34,N,AAPL,298.65,1.0,298.73,3.0,-5.0,2.0,2020-01-08 09:32:34.283733,298.74,298.76,1
2020-01-08 09:32:36,N,AAPL,298.74,4.0,298.76,2.0,2.0,-4.0,2020-01-08 09:32:36.654156,298.75,298.79,0
2020-01-08 09:32:37,N,AAPL,298.75,1.0,298.79,1.0,0.0,0.0,2020-01-08 09:32:37.362284,298.74,298.79,0
2020-01-08 09:32:38,N,AAPL,298.74,2.0,298.79,1.0,1.0,0.0,2020-01-08 09:32:38.090480,298.78,298.82,0
2020-01-08 09:32:39,N,AAPL,298.78,4.0,298.82,3.0,2.0,2.0,2020-01-08 09:32:39.153798,298.81,298.87,0
2020-01-08 09:32:40,N,AAPL,298.81,4.0,298.87,4.0,0.0,3.0,2020-01-08 09:32:40.173270,298.83,298.88,0
2020-01-08 09:32:41,N,AAPL,298.83,2.0,298.88,9.0,-2.0,7.0,2020-01-08 09:32:41.334885,298.79,298.82,-1
2020-01-08 09:32:42,N,AAPL,298.79,2.0,298.82,9.0,-6.0,7.0,2020-01-08 09:32:42.144542,298.8,298.84,0
2020-01-08 09:32:43,N,AAPL,298.8,4.0,298.84,3.0,3.0,0.0,2020-01-08 09:32:43.557336,298.82,298.84,0
2020-01-08 09:32:44,N,AAPL,298.82,4.0,298.84,1.0,3.0,-2.0,2020-01-08 09:32:44.225919,298.82,298.88,0
2020-01-08 09:32:45,N,AAPL,298.82,1.0,298.88,7.0,-1.0,0.0,2020-01-08 09:32:45.000775,298.96,299.0,1
