,last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,Spread,AWS,Anomaly,Spread Change,Quote IMB,VPIN
0,2020-01-16 09:30:00,N,AAPL,313.51,4.0,313.8,1.0,0.0,0.0,2020-01-16 09:30:00.318530,313.62,313.7,0,0.29000000000002046,0.29000000000002046,0,0,0.6,0.00077
1,2020-01-16 09:30:01,N,AAPL,313.62,1.0,313.7,2.0,-3.0,1.0,2020-01-16 09:30:01.211641,313.81,313.94,1,0.07999999999998408,0.20133333333336623,0,-1,-0.3333333333333333,0.00077
2,2020-01-16 09:30:04,N,AAPL,313.81,16.0,313.94,1.0,15.0,-1.0,2020-01-16 09:30:04.448392,313.99,314.01,1,0.12999999999999545,0.04119047619047933,1,1,0.8823529411764706,0.00077
3,2020-01-16 09:30:06,N,AAPL,313.99,1.0,314.01,1.0,-15.0,0.0,2020-01-16 09:30:06.204188,313.97,314.04,0,0.01999999999998181,0.07500000000004547,0,-1,0.0,0.00077
4,2020-01-16 09:30:07,N,AAPL,313.97,17.0,314.04,1.0,16.0,0.0,2020-01-16 09:30:07.885942,313.97,314.03,0,0.06999999999999318,0.016282051282075827,1,1,0.8888888888888888,0.00077
5,2020-01-16 09:30:08,N,AAPL,313.97,8.0,314.03,1.0,-9.0,0.0,2020-01-16 09:30:08.734371,313.97,314.06,0,0.05999999999994543,0.01920972644381891,1,-1,0.7777777777777778,0.00077
6,2020-01-16 09:30:09,N,AAPL,313.97,13.0,314.06,1.0,0.0,0.0,2020-01-16 09:30:09.161811,314.13,314.2,1,0.08999999999997499,0.01883333333336168,1,1,0.8571428571428571,0.00077
7,2020-01-16 09:30:10,N,AAPL,314.13,1.0,314.2,3.0,-12.0,2.0,2020-01-16 09:30:10.953740,314.13,314.23,0,0.06999999999999318,0.09400894187774611,0,-1,-0.5,0.00077
8,2020-01-16 09:30:12,N,AAPL,314.13,10.0,314.23,1.0,9.0,-2.0,2020-01-16 09:30:12.637086,313.82,313.87,-1,0.10000000000002274,0.0809976525821412,0,1,0.8181818181818182,0.00077
9,2020-01-16 09:30:24,N,AAPL,313.82,2.0,313.87,1.0,-8.0,0.0,2020-01-16 09:30:24.254085,313.91,314.0,1,0.05000000000001137,0.0732560590094522,0,-1,0.3333333333333333,0.00077
10,2020-01-16 09:30:26,N,AAPL,313.91,11.0,314.0,1.0,9.0,0.0,2020-01-16 09:30:26.989917,314.02,314.05,1,0.08999999999997499,0.07535714285705808,0,1,0.8333333333333334,0.00077
11,2020-01-16 09:30:30,N,AAPL,314.02,1.0,314.05,4.0,-10.0,3.0,2020-01-16 09:30:30.274789,314.02,314.08,0,0.03000000000002956,0.08564705882349699,0,-1,-0.6,0.00077
12,2020-01-16 09:30:31,N,AAPL,314.02,2.0,314.08,6.0,1.0,0.0,2020-01-16 09:30:31.144342,313.97,314.03,0,0.060000000000002274,0.10094827586198107,0,1,-0.5,0.00077
13,2020-01-16 09:30:32,N,AAPL,313.97,2.0,314.03,4.0,-7.0,3.0,2020-01-16 09:30:32.409143,314.0,314.06,0,0.05999999999994543,0.10032905296941408,0,-1,-0.3333333333333333,0.00077
14,2020-01-16 09:30:33,N,AAPL,314.0,1.0,314.06,6.0,0.0,2.0,2020-01-16 09:30:33.281694,314.0,314.04,0,0.060000000000002274,0.10519607843133372,0,1,-0.7142857142857143,0.00077
15,2020-01-16 09:30:34,N,AAPL,314.0,1.0,314.04,4.0,-3.0,0.0,2020-01-16 09:30:34.153473,314.03,314.08,0,0.040000000000020464,0.10508964719485903,0,-1,-0.6,0.00077
16,2020-01-16 09:30:35,N,AAPL,314.03,3.0,314.08,7.0,2.0,5.0,2020-01-16 09:30:35.171760,314.02,314.07,0,0.05000000000001137,0.10899290780133697,0,1,-0.4,0.00077
17,2020-01-16 09:30:36,N,AAPL,314.02,1.0,314.07,4.0,0.0,0.0,2020-01-16 09:30:36.466380,313.96,314.01,-1,0.05000000000001137,0.11041031149295577,0,1,-0.6,0.00077
18,2020-01-16 09:30:37,N,AAPL,313.96,1.0,314.01,4.0,-6.0,2.0,2020-01-16 09:30:37.011255,313.94,313.99,0,0.05000000000001137,0.10759040880498105,0,1,-0.6,0.00077
19,2020-01-16 09:30:38,N,AAPL,313.94,3.0,313.99,2.0,-3.0,-2.0,2020-01-16 09:30:38.647750,313.96,314.03,0,0.05000000000001137,0.10553535353528787,0,1,0.2,0.00077
20,2020-01-16 09:30:39,N,AAPL,313.96,4.0,314.03,4.0,3.0,2.0,2020-01-16 09:30:39.088032,313.92,313.97,0,0.06999999999999318,0.10388678624320846,0,1,0.0,0.00077
