last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome
2020-01-02 09:30:05,N,AAPL,296.14,4.0,296.19,4.0,2.0,2.0,2020-01-02 09:30:05.489204,296.03,296.07,-1
2020-01-02 09:30:06,N,AAPL,296.03,1.0,296.07,4.0,0.0,2.0,2020-01-02 09:30:06.278858,295.65,295.74,-1
2020-01-02 09:30:14,N,AAPL,295.65,6.0,295.74,1.0,5.0,-3.0,2020-01-02 09:30:14.710996,295.52,295.63,-1
2020-01-02 09:30:17,N,AAPL,295.52,3.0,295.63,1.0,2.0,0.0,2020-01-02 09:30:17.317319,295.54,295.68,0
2020-01-02 09:30:28,N,AAPL,295.54,2.0,295.68,1.0,-1.0,0.0,2020-01-02 09:30:28.784184,295.62,295.69,0
2020-01-02 09:30:29,N,AAPL,295.62,1.0,295.69,2.0,0.0,1.0,2020-01-02 09:30:29.169562,295.67,295.79,0
2020-01-02 09:30:34,N,AAPL,295.67,2.0,295.79,1.0,0.0,0.0,2020-01-02 09:30:34.896431,295.71,295.82,0
2020-01-02 09:30:35,N,AAPL,295.71,1.0,295.82,2.0,0.0,0.0,2020-01-02 09:30:35.039662,295.78,295.86,0
2020-01-02 09:30:36,N,AAPL,295.78,2.0,295.86,2.0,1.0,-2.0,2020-01-02 09:30:36.001904,295.75,295.82,0
2020-01-02 09:30:39,N,AAPL,295.75,2.0,295.82,4.0,-1.0,3.0,2020-01-02 09:30:39.045859,295.73,295.76,0
2020-01-02 09:30:42,N,AAPL,295.73,1.0,295.76,2.0,-1.0,-2.0,2020-01-02 09:30:42.022349,295.75,295.81,0
2020-01-02 09:30:43,N,AAPL,295.75,1.0,295.81,7.0,0.0,5.0,2020-01-02 09:30:43.021394,295.76,295.8,0
2020-01-02 09:30:45,N,AAPL,295.76,3.0,295.8,2.0,1.0,1.0,2020-01-02 09:30:45.339249,295.74,295.8,0
2020-01-02 09:30:46,N,AAPL,295.74,1.0,295.8,4.0,0.0,-33.0,2020-01-02 09:30:46.034987,295.77,295.81,0
2020-01-02 09:30:47,N,AAPL,295.77,3.0,295.81,6.0,-2.0,-31.0,2020-01-02 09:30:47.290570,295.86,295.92,1
2020-01-02 09:30:48,N,AAPL,295.86,2.0,295.92,1.0,1.0,-2.0,2020-01-02 09:30:48.601657,295.81,295.87,0
2020-01-02 09:30:49,N,AAPL,295.81,2.0,295.87,3.0,1.0,2.0,2020-01-02 09:30:49.210460,295.84,295.9,0
2020-01-02 09:30:50,N,AAPL,295.84,2.0,295.9,1.0,1.0,0.0,2020-01-02 09:30:50.039620,295.83,295.91,0
2020-01-02 09:30:51,N,AAPL,295.83,11.0,295.91,4.0,5.0,3.0,2020-01-02 09:30:51.831976,295.83,295.91,0
2020-01-02 09:30:52,N,AAPL,295.83,11.0,295.91,1.0,0.0,-1.0,2020-01-02 09:30:52.212856,295.88,295.92,0
2020-01-02 09:30:53,N,AAPL,295.88,2.0,295.92,1.0,-9.0,0.0,2020-01-02 09:30:53.519973,295.82,295.87,-1
2020-01-02 09:30:55,N,AAPL,295.82,2.0,295.87,2.0,0.0,1.0,2020-01-02 09:30:55.832868,295.74,295.81,-1
2020-01-02 09:30:57,N,AAPL,295.74,2.0,295.81,3.0,1.0,2.0,2020-01-02 09:30:57.493968,295.74,295.8,0
2020-01-02 09:30:59,N,AAPL,295.74,2.0,295.8,1.0,0.0,-1.0,2020-01-02 09:30:59.367432,295.7,295.75,0
2020-01-02 09:31:00,N,AAPL,295.7,1.0,295.75,2.0,0.0,0.0,2020-01-02 09:31:00.012426,295.63,295.72,0
2020-01-02 09:31:01,N,AAPL,295.63,6.0,295.72,2.0,4.0,0.0,2020-01-02 09:31:01.328937,295.69,295.75,0
2020-01-02 09:31:02,N,AAPL,295.69,2.0,295.75,2.0,-1.0,0.0,2020-01-02 09:31:02.497931,295.69,295.76,0
2020-01-02 09:31:03,N,AAPL,295.69,10.0,295.76,3.0,7.0,2.0,2020-01-02 09:31:03.258547,295.67,295.71,0
2020-01-02 09:31:04,N,AAPL,295.67,2.0,295.71,2.0,-8.0,-1.0,2020-01-02 09:31:04.184381,295.64,295.73,0
2020-01-02 09:31:05,N,AAPL,295.64,3.0,295.73,1.0,0.0,-1.0,2020-01-02 09:31:05.029024,295.66,295.71,0
2020-01-02 09:31:06,N,AAPL,295.66,1.0,295.71,1.0,0.0,0.0,2020-01-02 09:31:06.134486,295.7,295.74,0
2020-01-02 09:31:07,N,AAPL,295.7,1.0,295.74,2.0,0.0,1.0,2020-01-02 09:31:07.073901,295.74,295.79,0
