,last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,Spread,AWS,Anomaly,Spread Change,Quote IMB,VPIN
0,2020-01-27 09:30:03,N,AAPL,309.6,1.0,309.73,1.0,-36.0,0.0,2020-01-27 09:30:03.135154,309.83,309.85,1,0.12999999999999545,0.12999999999999545,0,0,0.0,0.00312
1,2020-01-27 09:30:04,N,AAPL,309.83,1.0,309.85,1.0,0.0,-2.0,2020-01-27 09:30:04.016527,309.0,309.33,-1,0.020000000000038654,0.07499999999998863,0,-1,0.0,0.00312
2,2020-01-27 09:30:05,N,AAPL,309.0,224.0,309.33,1.0,223.0,0.0,2020-01-27 09:30:05.811180,309.0,309.32,0,0.3299999999999841,0.6303392330383986,1,1,0.9911111111111112,0.00312
3,2020-01-27 09:30:06,N,AAPL,309.0,135.0,309.32,2.0,-89.0,1.0,2020-01-27 09:30:06.623526,309.0,309.28,0,0.3199999999999932,0.506038781163511,0,-1,0.9708029197080292,0.00645
4,2020-01-27 09:30:07,N,AAPL,309.0,42.0,309.28,1.0,41.0,0.0,2020-01-27 09:30:07.131806,309.1,309.31,0,0.2799999999999727,0.46811827956992147,0,-1,0.9534883720930233,0.00978
5,2020-01-27 09:30:08,N,AAPL,309.1,1.0,309.31,1.0,-4.0,0.0,2020-01-27 09:30:08.023166,309.0,309.12,0,0.20999999999997954,0.4447842998586111,0,-1,0.0,0.00978
6,2020-01-27 09:30:09,N,AAPL,309.0,5.0,309.12,2.0,4.0,1.0,2020-01-27 09:30:09.849361,308.7,308.86,-1,0.12000000000000455,0.3718147242597638,0,-1,0.42857142857142855,0.00978
7,2020-01-27 09:30:13,N,AAPL,308.7,2.0,308.86,1.0,-3.0,-1.0,2020-01-27 09:30:13.804076,308.6,308.81,0,0.160000000000025,0.3217372262773779,0,1,0.3333333333333333,0.00978
8,2020-01-27 09:30:15,N,AAPL,308.6,1.0,308.81,1.0,-1.0,0.0,2020-01-27 09:30:15.864208,308.77,308.87,0,0.20999999999997954,0.2759863195057619,0,1,0.0,0.00978
9,2020-01-27 09:30:17,N,AAPL,308.77,1.0,308.87,2.0,0.0,1.0,2020-01-27 09:30:17.173423,308.82,308.92,0,0.10000000000002274,0.21388899236359293,1,-1,-0.3333333333333333,0.00978
10,2020-01-27 09:30:19,N,AAPL,308.82,1.0,308.92,1.0,0.0,-1.0,2020-01-27 09:30:19.096568,308.86,308.88,0,0.10000000000002274,0.19328157349895037,1,1,0.0,0.00978
11,2020-01-27 09:30:20,N,AAPL,308.86,4.0,308.88,1.0,3.0,0.0,2020-01-27 09:30:20.413436,309.11,309.17,1,0.01999999999998181,0.17371929824560084,1,-1,0.6,0.00978
12,2020-01-27 09:30:21,N,AAPL,309.11,2.0,309.17,3.0,1.0,2.0,2020-01-27 09:30:21.021675,309.03,309.13,0,0.060000000000002274,0.17274603174598724,1,1,-0.2,0.01301
13,2020-01-27 09:30:22,N,AAPL,309.03,2.0,309.13,1.0,0.0,0.0,2020-01-27 09:30:22.061415,308.96,309.1,0,0.10000000000002274,0.1703791469194016,1,1,0.3333333333333333,0.01301
14,2020-01-27 09:30:23,N,AAPL,308.96,4.0,309.1,2.0,1.0,0.0,2020-01-27 09:30:23.005265,308.95,309.04,0,0.1400000000000432,0.16408450704221877,1,1,0.3333333333333333,0.01301
15,2020-01-27 09:30:24,N,AAPL,308.95,1.0,309.04,2.0,-1.0,1.0,2020-01-27 09:30:24.138459,309.03,309.14,0,0.09000000000003183,0.15347520619081934,1,-1,-0.3333333333333333,0.01301
16,2020-01-27 09:30:25,N,AAPL,309.03,2.0,309.14,3.0,-2.0,0.0,2020-01-27 09:30:25.112246,309.13,309.16,0,0.11000000000001364,0.15187645687649365,1,1,-0.2,0.01301
17,2020-01-27 09:30:26,N,AAPL,309.13,1.0,309.16,2.0,-3.0,-1.0,2020-01-27 09:30:26.631810,308.76,308.92,-1,0.03000000000002956,0.15220431893686737,1,-1,-0.3333333333333333,0.01301
18,2020-01-27 09:30:27,N,AAPL,308.76,4.0,308.92,2.0,2.0,0.0,2020-01-27 09:30:27.217906,308.83,309.01,0,0.160000000000025,0.13896006144386774,1,1,0.3333333333333333,0.01301
19,2020-01-27 09:30:28,N,AAPL,308.83,2.0,309.01,4.0,0.0,0.0,2020-01-27 09:30:28.071098,308.76,308.92,0,0.18000000000000682,0.12486508364810334,1,1,-0.3333333333333333,0.01301
20,2020-01-27 09:30:29,N,AAPL,308.76,2.0,308.92,2.0,0.0,0.0,2020-01-27 09:30:29.053646,308.91,308.97,0,0.160000000000025,0.11475266362253933,1,-1,0.0,0.01301
21,2020-01-27 09:30:30,N,AAPL,308.91,1.0,308.97,2.0,-1.0,1.0,2020-01-27 09:30:30.168239,308.91,309.05,0,0.060000000000002274,0.10756444071455462,1,-1,-0.3333333333333333,0.01301
22,2020-01-27 09:30:31,N,AAPL,308.91,3.0,309.05,1.0,-1.0,-1.0,2020-01-27 09:30:31.117932,308.94,309.07,0,0.13999999999998636,0.10678733031670617,1,1,0.5,0.01301
23,2020-01-27 09:30:32,N,AAPL,308.94,2.0,309.07,1.0,1.0,0.0,2020-01-27 09:30:32.008897,308.51,308.59,-1,0.12999999999999545,0.10624549549544327,1,-1,0.3333333333333333,0.01301
24,2020-01-27 09:30:33,N,AAPL,308.51,1.0,308.59,4.0,0.0,3.0,2020-01-27 09:30:33.037806,308.24,308.41,-1,0.07999999999998408,0.06090245148101303,1,-1,-0.6,0.01301
25,2020-01-27 09:30:34,N,AAPL,308.24,1.0,308.41,1.0,-33.0,0.0,2020-01-27 09:30:34.167463,308.1,308.18,-1,0.17000000000001592,0.04827354260083894,1,1,0.0,0.01301
26,2020-01-27 09:30:35,N,AAPL,308.1,4.0,308.18,2.0,-6.0,0.0,2020-01-27 09:30:35.033637,308.04,308.16,0,0.07999999999998408,0.019604255319165986,1,-1,0.3333333333333333,0.01301
