last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome
2020-01-16 09:30:00,N,AAPL,313.51,4.0,313.8,1.0,0.0,0.0,2020-01-16 09:30:00.318530,313.62,313.7,0
2020-01-16 09:30:01,N,AAPL,313.62,1.0,313.7,2.0,-3.0,1.0,2020-01-16 09:30:01.211641,313.81,313.94,1
2020-01-16 09:30:04,N,AAPL,313.81,16.0,313.94,1.0,15.0,-1.0,2020-01-16 09:30:04.448392,313.99,314.01,1
2020-01-16 09:30:06,N,AAPL,313.99,1.0,314.01,1.0,-15.0,0.0,2020-01-16 09:30:06.204188,313.97,314.04,0
2020-01-16 09:30:07,N,AAPL,313.97,17.0,314.04,1.0,16.0,0.0,2020-01-16 09:30:07.885942,313.97,314.03,0
2020-01-16 09:30:08,N,AAPL,313.97,8.0,314.03,1.0,-9.0,0.0,2020-01-16 09:30:08.734371,313.97,314.06,0
2020-01-16 09:30:09,N,AAPL,313.97,13.0,314.06,1.0,0.0,0.0,2020-01-16 09:30:09.161811,314.13,314.2,1
2020-01-16 09:30:10,N,AAPL,314.13,1.0,314.2,3.0,-12.0,2.0,2020-01-16 09:30:10.953740,314.13,314.23,0
2020-01-16 09:30:12,N,AAPL,314.13,10.0,314.23,1.0,9.0,-2.0,2020-01-16 09:30:12.637086,313.82,313.87,-1
2020-01-16 09:30:24,N,AAPL,313.82,2.0,313.87,1.0,-8.0,0.0,2020-01-16 09:30:24.254085,313.91,314.0,1
2020-01-16 09:30:26,N,AAPL,313.91,11.0,314.0,1.0,9.0,0.0,2020-01-16 09:30:26.989917,314.02,314.05,1
2020-01-16 09:30:30,N,AAPL,314.02,1.0,314.05,4.0,-10.0,3.0,2020-01-16 09:30:30.274789,314.02,314.08,0
2020-01-16 09:30:31,N,AAPL,314.02,2.0,314.08,6.0,1.0,0.0,2020-01-16 09:30:31.144342,313.97,314.03,0
2020-01-16 09:30:32,N,AAPL,313.97,2.0,314.03,4.0,-7.0,3.0,2020-01-16 09:30:32.409143,314.0,314.06,0
