last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome
2020-01-14 09:30:00,N,AAPL,316.55,4.0,316.71,1.0,0.0,0.0,2020-01-14 09:30:00.243384,316.7,316.78,0
2020-01-14 09:30:01,N,AAPL,316.7,2.0,316.78,1.0,-2.0,0.0,2020-01-14 09:30:01.895947,316.73,316.79,0
2020-01-14 09:30:04,N,AAPL,316.73,2.0,316.79,1.0,0.0,0.0,2020-01-14 09:30:04.844286,317.02,317.08,1
2020-01-14 09:30:14,N,AAPL,317.02,2.0,317.08,1.0,-4.0,0.0,2020-01-14 09:30:14.088828,316.96,317.04,0
2020-01-14 09:30:15,N,AAPL,316.96,2.0,317.04,1.0,1.0,0.0,2020-01-14 09:30:15.236109,316.78,316.86,-1
2020-01-14 09:30:16,N,AAPL,316.78,1.0,316.86,1.0,-1.0,0.0,2020-01-14 09:30:16.188015,316.41,316.46,-1
2020-01-14 09:30:24,N,AAPL,316.41,1.0,316.46,2.0,0.0,1.0,2020-01-14 09:30:24.237480,316.34,316.37,-1
2020-01-14 09:30:25,N,AAPL,316.34,2.0,316.37,3.0,1.0,2.0,2020-01-14 09:30:25.027027,316.28,316.31,-1
2020-01-14 09:30:27,N,AAPL,316.28,2.0,316.31,2.0,1.0,-2.0,2020-01-14 09:30:27.571673,316.32,316.37,1
2020-01-14 09:30:29,N,AAPL,316.32,2.0,316.37,2.0,1.0,1.0,2020-01-14 09:30:29.198290,316.54,316.58,1
2020-01-14 09:30:30,N,AAPL,316.54,2.0,316.58,5.0,1.0,3.0,2020-01-14 09:30:30.234366,316.52,316.6,0
2020-01-14 09:30:32,N,AAPL,316.52,4.0,316.6,2.0,-2.0,0.0,2020-01-14 09:30:32.175254,316.75,316.84,1
2020-01-14 09:30:33,N,AAPL,316.75,1.0,316.84,2.0,-2.0,1.0,2020-01-14 09:30:33.021757,316.89,316.95,1
2020-01-14 09:30:35,N,AAPL,316.89,4.0,316.95,1.0,3.0,0.0,2020-01-14 09:30:35.388092,316.91,316.95,0
2020-01-14 09:30:38,N,AAPL,316.91,2.0,316.95,2.0,1.0,-2.0,2020-01-14 09:30:38.298451,316.91,316.94,0
2020-01-14 09:30:39,N,AAPL,316.91,3.0,316.94,2.0,2.0,0.0,2020-01-14 09:30:39.057325,316.99,317.04,1
2020-01-14 09:30:40,N,AAPL,316.99,1.0,317.04,1.0,-12.0,0.0,2020-01-14 09:30:40.126541,317.04,317.07,0
2020-01-14 09:30:43,N,AAPL,317.04,2.0,317.07,2.0,0.0,-14.0,2020-01-14 09:30:43.059270,317.04,317.11,0
2020-01-14 09:30:44,N,AAPL,317.04,2.0,317.11,3.0,0.0,0.0,2020-01-14 09:30:44.048969,317.01,317.11,0
2020-01-14 09:30:47,N,AAPL,317.01,8.0,317.11,4.0,6.0,1.0,2020-01-14 09:30:47.184295,317.02,317.08,0
2020-01-14 09:30:48,N,AAPL,317.02,1.0,317.08,2.0,-17.0,1.0,2020-01-14 09:30:48.435292,317.02,317.06,0
2020-01-14 09:30:49,N,AAPL,317.02,4.0,317.06,2.0,2.0,0.0,2020-01-14 09:30:49.308849,317.02,317.09,0
2020-01-14 09:30:50,N,AAPL,317.02,1.0,317.09,1.0,0.0,-3.0,2020-01-14 09:30:50.112597,317.02,317.06,0
2020-01-14 09:30:51,N,AAPL,317.02,4.0,317.06,1.0,-2.0,0.0,2020-01-14 09:30:51.914606,317.02,317.09,0
2020-01-14 09:30:52,N,AAPL,317.02,4.0,317.09,2.0,0.0,1.0,2020-01-14 09:30:52.511512,317.01,317.07,0
2020-01-14 09:30:53,N,AAPL,317.01,4.0,317.07,2.0,2.0,0.0,2020-01-14 09:30:53.875542,317.0,317.06,0
2020-01-14 09:30:54,N,AAPL,317.0,2.0,317.06,2.0,-2.0,0.0,2020-01-14 09:30:54.254535,316.96,317.01,0
