last_interval,Exchange,Best_Bid_Price,Best_Offer_Price,Best_Bid_Size,Best_Offer_Size,Best_Bid_Size_Diff,Best_Offer_Size_Diff,Spread,Spread_Change,WBP,WAP,VWAP,AWS,Anomaly,Rolling_Imbalance,p_time,Best_Next_Bid,Best_Next_Offer,outcome
2020-01-15 09:30:00,N,311.894,311.95799999999997,1.6,30.2,-0.2,-0.2,0.06399999999999864,0.006000000000005912,10.600269463887466,109.41583134695675,60.00805040542211,98.8155618830693,0.8,13.353333333333333,2020-01-15 09:30:04.705920,311.59,311.615,-1
2020-01-15 09:30:05,N,311.59,311.615,2.0,1.5,0.5,0.0,0.025000000000034106,-0.01999999999998181,7.504316569851408,114.63726804097881,61.07079230541511,107.1329514711274,0.5,17.71666666666667,2020-01-15 09:30:09.164116,311.70714285714286,311.7485714285714,1
2020-01-15 09:30:10,N,311.70714285714286,311.7485714285714,1.0,1.2857142857142858,-0.14285714285714285,0.0,0.041428571428574354,0.0014285714285701293,5.9992901454751335,6.855681652409003,6.427485898942067,0.8563915069338697,0.14285714285714285,1.2285714285714284,2020-01-15 09:30:13.564506,312.29,312.34,1
2020-01-15 09:30:15,N,312.29,312.34,15.0,2.0,14.0,1.0,0.049999999999954525,0.019999999999924967,18.993531653270995,5.99350067234424,12.493516162807618,-13.000030980926756,0.0,0.8266666666666668,2020-01-15 09:30:17.349222,312.6804761904762,312.76761904761906,1
2020-01-15 09:30:20,N,312.6804761904762,312.76761904761906,1.4761904761904763,1.8571428571428572,-0.6666666666666666,0.047619047619047616,0.08714285714284015,0.0033333333333357153,9.80513930117171,8.808109338323586,9.306624319747648,-0.9970299628481236,0.23809523809523808,1.4050793650793652,2020-01-15 09:30:24.112204,312.600625,312.6703125,-1
2020-01-15 09:30:25,N,312.600625,312.6703125,2.203125,1.8125,0.015625,-0.03125,0.06968750000000323,0.0,10.984490481757735,9.265843442823305,10.12516696229052,-1.7186470389344297,0.265625,1.0854166666666667,2020-01-15 09:30:29.849761,312.5183333333333,312.58433333333335,-1
2020-01-15 09:30:30,N,312.5183333333333,312.58433333333335,1.7333333333333334,1.7666666666666666,0.0,0.03333333333333333,0.06599999999999871,-0.0016666666666670456,8.70021761891527,8.73359785826567,8.716907738590468,0.03338023935040051,0.3,1.1316666666666668,2020-01-15 09:30:33.285552,312.3555,312.4285,-1
2020-01-15 09:30:35,N,312.3555,312.4285,3.35,2.75,-0.05,0.0,0.0729999999999876,0.0,16.250755727955713,13.150877192953919,14.700816460454817,-3.0998785350017966,0.4,0.9974999999999999,2020-01-15 09:30:39.941902,312.26300000000003,312.346,-1
2020-01-15 09:30:40,N,312.26300000000003,312.346,3.6,1.8,0.3,-0.1,0.0830000000000041,0.001999999999998181,18.098776854087994,10.1996447755014,14.149210814794696,-7.899132078586598,0.2,0.7485714285714286,2020-01-15 09:30:42.454143,312.40558823529415,312.46911764705885,1
2020-01-15 09:30:45,N,312.40558823529415,312.46911764705885,2.823529411764706,3.411764705882353,0.029411764705882353,0.0,0.06352941176470829,-0.0011764705882342241,13.999399411415883,17.176099753045893,15.587749582230886,3.176700341630011,0.2647058823529412,1.47421568627451,2020-01-15 09:30:49.710512,312.3185,312.375,-1
2020-01-15 09:30:50,N,312.3185,312.375,1.85,1.8,-0.15,0.0,0.056500000000005456,-0.0005000000000023874,9.750741346700796,8.750694765403981,9.250718056052389,-1.000046581296813,0.25,1.048,2020-01-15 09:30:54.466286,312.1969696969697,312.27272727272725,-1
2020-01-15 09:30:55,N,312.1969696969697,312.27272727272725,1.3636363636363635,1.5151515151515151,-0.030303030303030304,0.0,0.07575757575756542,0.0006060606060600549,6.636344265053203,7.727339726636354,7.181841995844779,1.0909954615831516,0.42424242424242425,1.3873737373737374,2020-01-15 09:30:59.966119,312.31666666666666,312.390303030303,1
2020-01-15 09:31:00,N,312.31666666666666,312.390303030303,2.090909090909091,2.090909090909091,0.0,0.09090909090909091,0.07363636363636901,1.7225278442669096e-15,10.545078107985656,9.787635315837234,10.166356711911446,-0.7574427921484226,0.42424242424242425,1.1648484848484848,2020-01-15 09:31:04.963661,312.4275,312.475,1
2020-01-15 09:31:05,N,312.4275,312.475,1.9375,1.6875,0.0,-0.1875,0.047500000000002984,0.0012499999999988631,10.437031899238,9.562176052608068,9.999603975923034,-0.8748558466299337,0.25,1.2287499999999998,2020-01-15 09:31:09.265841,312.52553191489363,312.59255319148934,1
2020-01-15 09:31:10,N,312.52553191489363,312.59255319148934,2.5531914893617023,2.297872340425532,0.06382978723404255,0.02127659574468085,0.06702127659574299,0.000212765957446615,11.936475446231343,11.361828800193214,11.64915212321228,-0.5746466460381269,0.2127659574468085,1.266430260047281,2020-01-15 09:31:14.826251,312.475,312.54675000000003,0
2020-01-15 09:31:15,N,312.475,312.54675000000003,2.65,2.2,-0.05,0.0,0.07174999999999443,-0.00024999999999835153,13.65001287776895,10.924880073340173,12.287446475554562,-2.725132804428777,0.275,1.08975,2020-01-15 09:31:19.247868,312.5180645161291,312.5967741935484,0
2020-01-15 09:31:20,N,312.5180645161291,312.5967741935484,1.8387096774193548,1.8064516129032258,0.0,0.0,0.07870967741933643,0.0003225806451591633,9.612694730651278,9.128857877673418,9.370776304162348,-0.4838368529778585,0.3870967741935484,1.1422580645161289,2020-01-15 09:31:24.997673,312.5444736842105,312.61052631578946,0
2020-01-15 09:31:25,N,312.5444736842105,312.61052631578946,2.236842105263158,2.289473684210526,0.05263157894736842,-0.02631578947368421,0.06605263157894563,-0.001052631578946411,10.631442584937336,10.447337307220081,10.539389946078709,-0.18410527771725305,0.2631578947368421,1.0520175438596489,2020-01-15 09:31:29.904367,312.5258,312.5912,0
2020-01-15 09:31:30,N,312.5258,312.5912,2.16,1.92,-0.04,0.02,0.06540000000000873,0.00019999999999868124,11.260064024672745,10.24000579082538,10.750034907749061,-1.020058233847365,0.26,1.1544666666666665,2020-01-15 09:31:34.750065,312.6171428571429,312.6614285714286,1
